sequence_number,naics_code,naics_title,sector_code,sector_name,prompt,response,prompt_tokens,completion_tokens,total_tokens
1822,6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,62,Health Care and Social Assistance,"NAICS Code: 6223 - Specialty (except Psychiatric and Substance Abuse) Hospitals

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",499,19,518
1826,6231,Nursing Care Facilities (Skilled Nursing Facilities),62,Health Care and Social Assistance,"NAICS Code: 6231 - Nursing Care Facilities (Skilled Nursing Facilities)

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",498,19,517
1829,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",62,Health Care and Social Assistance,"NAICS Code: 6232 - Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",505,19,524
1834,6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,62,Health Care and Social Assistance,"NAICS Code: 6233 - Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",501,19,520
1838,6239,Other Residential Care Facilities,62,Health Care and Social Assistance,"NAICS Code: 6239 - Other Residential Care Facilities

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",491,19,510
1842,6241,Individual and Family Services,62,Health Care and Social Assistance,"NAICS Code: 6241 - Individual and Family Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
1849,6242,"Community Food and Housing, and Emergency and Other Relief Services",62,Health Care and Social Assistance,"NAICS Code: 6242 - Community Food and Housing, and Emergency and Other Relief Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Emergency Services Sector.",496,17,513
1857,6243,Vocational Rehabilitation Services,62,Health Care and Social Assistance,"NAICS Code: 6243 - Vocational Rehabilitation Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1860,6244,Child Care Services,62,Health Care and Social Assistance,"NAICS Code: 6244 - Child Care Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1865,7111,Performing Arts Companies,71,"Arts, Entertainment, and Recreation","NAICS Code: 7111 - Performing Arts Companies

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Commercial Facilities Sector.",489,18,507
1874,7112,Spectator Sports,71,"Arts, Entertainment, and Recreation","NAICS Code: 7112 - Spectator Sports

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
1879,7113,"Promoters of Performing Arts, Sports, and Similar Events",71,"Arts, Entertainment, and Recreation","NAICS Code: 7113 - Promoters of Performing Arts, Sports, and Similar Events

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",498,10,508
1884,7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",71,"Arts, Entertainment, and Recreation","NAICS Code: 7114 - Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",504,10,514
1887,7115,"Independent Artists, Writers, and Performers",71,"Arts, Entertainment, and Recreation","NAICS Code: 7115 - Independent Artists, Writers, and Performers

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1891,7121,"Museums, Historical Sites, and Similar Institutions",71,"Arts, Entertainment, and Recreation","NAICS Code: 7121 - Museums, Historical Sites, and Similar Institutions

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
1901,7131,Amusement Parks and Arcades,71,"Arts, Entertainment, and Recreation","NAICS Code: 7131 - Amusement Parks and Arcades

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
1906,7132,Gambling Industries,71,"Arts, Entertainment, and Recreation","NAICS Code: 7132 - Gambling Industries

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1911,7139,Other Amusement and Recreation Industries,71,"Arts, Entertainment, and Recreation","NAICS Code: 7139 - Other Amusement and Recreation Industries

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1926,7211,Traveler Accommodation,72,Accommodation and Food Services,"NAICS Code: 7211 - Traveler Accommodation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Commercial Facilities Sector.",490,18,508
1934,7212,RV (Recreational Vehicle) Parks and Recreational Camps,72,Accommodation and Food Services,"NAICS Code: 7212 - RV (Recreational Vehicle) Parks and Recreational Camps

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",498,10,508
1938,7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",72,Accommodation and Food Services,"NAICS Code: 7213 - Rooming and Boarding Houses, Dormitories, and Workers' Camps

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",503,10,513
1942,7223,Special Food Services,72,Accommodation and Food Services,"NAICS Code: 7223 - Special Food Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1949,7224,Drinking Places (Alcoholic Beverages),72,Accommodation and Food Services,"NAICS Code: 7224 - Drinking Places (Alcoholic Beverages)

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1952,7225,Restaurants and Other Eating Places,72,Accommodation and Food Services,"NAICS Code: 7225 - Restaurants and Other Eating Places

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",492,18,510
1960,8111,Automotive Repair and Maintenance,81,Other Services (except Public Administration),"NAICS Code: 8111 - Automotive Repair and Maintenance

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",492,10,502
1971,8112,Electronic and Precision Equipment Repair and Maintenance,81,Other Services (except Public Administration),"NAICS Code: 8112 - Electronic and Precision Equipment Repair and Maintenance

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",495,17,512
1974,8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,81,Other Services (except Public Administration),"NAICS Code: 8113 - Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",504,17,521
1977,8114,Personal and Household Goods Repair and Maintenance,81,Other Services (except Public Administration),"NAICS Code: 8114 - Personal and Household Goods Repair and Maintenance

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1988,8121,Personal Care Services ,81,Other Services (except Public Administration),"NAICS Code: 8121 - Personal Care Services 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
1996,8122,Death Care Services ,81,Other Services (except Public Administration),"NAICS Code: 8122 - Death Care Services 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
2001,8123,Drycleaning and Laundry Services ,81,Other Services (except Public Administration),"NAICS Code: 8123 - Drycleaning and Laundry Services 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",497,10,507
2009,8129,Other Personal Services ,81,Other Services (except Public Administration),"NAICS Code: 8129 - Other Personal Services 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
2020,8131,Religious Organizations ,81,Other Services (except Public Administration),"NAICS Code: 8131 - Religious Organizations 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
2023,8132,Grantmaking and Giving Services ,81,Other Services (except Public Administration),"NAICS Code: 8132 - Grantmaking and Giving Services 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
2028,8133,Social Advocacy Organizations ,81,Other Services (except Public Administration),"NAICS Code: 8133 - Social Advocacy Organizations 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
2033,8134,Civic and Social Organizations ,81,Other Services (except Public Administration),"NAICS Code: 8134 - Civic and Social Organizations 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
2036,8139,"Business, Professional, Labor, Political, and Similar Organizations ",81,Other Services (except Public Administration),"NAICS Code: 8139 - Business, Professional, Labor, Political, and Similar Organizations 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",497,10,507
2048,8141,Private Households,81,Other Services (except Public Administration),"NAICS Code: 8141 - Private Households

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
2053,9211,"Executive, Legislative, and Other General Government Support ",92,Public Administration,"NAICS Code: 9211 - Executive, Legislative, and Other General Government Support 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Government Facilities Sector.",495,18,513
2067,9221,"Justice, Public Order, and Safety Activities ",92,Public Administration,"NAICS Code: 9221 - Justice, Public Order, and Safety Activities 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Emergency Services Sector.",494,17,511
2083,9231,Administration of Human Resource Programs ,92,Public Administration,"NAICS Code: 9231 - Administration of Human Resource Programs 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
2093,9241,Administration of Environmental Quality Programs ,92,Public Administration,"NAICS Code: 9241 - Administration of Environmental Quality Programs 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Government Facilities Sector.",491,18,509
2099,9251,"Administration of Housing Programs, Urban Planning, and Community Development ",92,Public Administration,"NAICS Code: 9251 - Administration of Housing Programs, Urban Planning, and Community Development 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",497,10,507
2105,9261,Administration of Economic Programs ,92,Public Administration,"NAICS Code: 9261 - Administration of Economic Programs 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Government Facilities Sector.",490,18,508
2117,9271,Space Research and Technology ,92,Public Administration,"NAICS Code: 9271 - Space Research and Technology 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Defense Industrial Base Sector.",490,18,508
2121,9281,National Security and International Affairs ,92,Public Administration,"NAICS Code: 9281 - National Security and International Affairs 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Government Facilities Sector.",491,18,509
